Pred	Exac
26.24	44.74
26.86	44.74
40.83	44.74
41.16	44.74
42.07	44.74
40.23	44.74
24.02	42.53
38.83	42.53
25.45	42.53
38.06	41.78
24.88	41.78
38.91	41.70
24.14	41.70
24.80	41.65
24.30	41.65
40.05	41.65
39.34	41.28
38.95	41.23
25.20	41.23
24.52	41.23
38.95	41.22
39.70	41.21
40.97	41.14
24.39	41.14
23.89	41.04
40.29	41.00
38.26	40.32
36.58	40.22
22.05	40.22
23.69	39.62
23.36	39.61
36.84	39.61
24.17	39.57
36.71	39.57
23.62	39.57
21.46	39.57
39.46	39.57
36.84	39.57
38.98	39.51
36.88	39.49
24.51	39.49
22.42	39.49
22.80	39.48
39.99	39.44
24.32	39.44
22.94	39.44
24.47	39.44
20.64	39.37
26.23	39.32
36.07	39.30
26.24	39.29
19.39	39.25
22.29	39.02
21.00	39.02
37.76	39.01
24.75	38.93
37.48	38.83
35.64	38.79
21.20	38.79
23.89	38.79
36.19	38.79
21.27	38.66
34.29	38.61
24.07	38.61
37.58	38.56
38.06	38.38
39.91	38.37
17.83	38.36
36.43	38.27
21.23	38.27
21.68	38.26
21.61	38.25
20.94	38.25
37.00	38.25
39.99	38.24
23.54	38.19
24.12	38.16
24.48	38.16
24.74	38.13
36.04	38.12
22.48	38.11
20.80	38.10
21.68	38.04
34.67	38.04
21.34	37.96
21.26	37.96
19.21	37.95
34.47	37.94
22.88	37.90
39.11	37.82
35.37	37.81
23.69	37.78
37.54	37.76
25.27	37.71
19.86	37.65
23.14	37.64
20.35	37.64
20.73	37.61
36.56	37.58
34.38	37.55
29.73	37.51
33.90	37.51
21.85	37.48
22.23	37.47
19.77	37.46
22.50	37.39
21.59	37.36
19.10	37.36
18.88	37.29
20.29	37.29
36.37	37.28
19.94	37.27
22.17	37.27
37.78	37.26
23.85	37.26
36.35	37.25
37.50	37.22
37.83	37.21
31.41	37.15
38.88	37.07
23.85	37.06
20.93	36.98
39.56	36.97
20.93	36.95
32.06	36.82
34.06	36.81
33.07	36.79
36.00	36.71
35.75	36.71
36.62	36.69
32.57	36.68
32.50	36.68
19.14	36.65
21.02	36.59
20.74	36.48
19.84	36.48
23.73	36.42
33.71	36.42
36.02	36.32
34.82	36.32
20.93	36.31
32.58	36.27
25.19	36.25
34.93	36.24
37.08	36.23
38.80	36.19
22.17	36.18
34.87	36.15
34.79	36.08
20.68	36.08
33.48	36.05
18.05	36.03
30.67	36.03
31.43	36.03
25.24	35.95
25.84	35.94
19.61	35.92
27.24	35.92
