Pred	Exac
21.94	44.74
23.81	44.74
135.09	44.74
136.62	44.74
136.06	44.74
134.30	44.74
17.21	42.53
131.13	42.53
26.85	42.53
127.27	41.78
28.55	41.78
132.99	41.70
20.16	41.70
19.22	41.65
23.60	41.65
139.77	41.65
139.91	41.28
131.00	41.23
25.37	41.23
24.76	41.23
132.25	41.22
137.18	41.21
146.03	41.14
33.88	41.14
21.17	41.04
141.33	41.00
135.18	40.32
120.52	40.22
20.60	40.22
33.45	39.62
30.06	39.61
133.67	39.61
25.32	39.57
125.55	39.57
25.75	39.57
21.55	39.57
139.99	39.57
130.11	39.57
138.92	39.51
127.94	39.49
21.98	39.49
22.80	39.49
17.23	39.48
137.02	39.44
29.59	39.44
22.36	39.44
28.79	39.44
34.89	39.37
33.58	39.32
122.20	39.30
32.04	39.29
13.21	39.25
23.10	39.02
23.46	39.02
135.99	39.01
26.55	38.93
139.06	38.83
128.22	38.79
18.74	38.79
30.99	38.79
131.30	38.79
27.95	38.66
134.93	38.61
23.90	38.61
138.56	38.56
145.69	38.38
146.15	38.37
 9.51	38.36
129.36	38.27
20.19	38.27
23.59	38.26
25.62	38.25
18.44	38.25
130.52	38.25
144.62	38.24
29.20	38.19
29.86	38.16
34.03	38.16
28.85	38.13
128.16	38.12
21.67	38.11
15.75	38.10
23.11	38.04
130.43	38.04
18.90	37.96
23.25	37.96
19.98	37.95
137.72	37.94
36.86	37.90
142.86	37.82
130.51	37.81
23.34	37.78
137.88	37.76
43.12	37.71
33.69	37.65
53.55	37.64
23.34	37.64
17.51	37.61
115.32	37.58
122.08	37.55
120.73	37.51
124.48	37.51
28.27	37.48
29.84	37.47
20.83	37.46
32.22	37.39
28.16	37.36
27.17	37.36
20.05	37.29
20.36	37.29
134.69	37.28
23.58	37.27
20.12	37.27
144.61	37.26
33.36	37.26
132.02	37.25
148.53	37.22
139.65	37.21
119.48	37.15
141.01	37.07
33.36	37.06
 9.86	36.98
152.68	36.97
37.80	36.95
101.41	36.82
121.55	36.81
128.78	36.79
141.74	36.71
123.29	36.71
151.32	36.69
121.87	36.68
119.70	36.68
34.88	36.65
35.88	36.59
33.43	36.48
27.78	36.48
18.19	36.42
131.24	36.42
126.92	36.32
128.44	36.32
48.67	36.31
124.52	36.27
40.15	36.25
133.87	36.24
142.55	36.23
145.34	36.19
26.69	36.18
124.61	36.15
129.03	36.08
28.08	36.08
123.63	36.05
46.23	36.03
122.06	36.03
125.02	36.03
78.16	35.95
71.96	35.94
23.62	35.92
53.86	35.92
74.64	35.90
29.38	35.90
133.88	35.90
34.88	35.89
26.44	35.87
40.94	35.86
27.90	35.84
72.03	35.82
27.63	35.82
104.90	35.79
28.63	35.78
26.39	35.76
23.78	35.75
38.29	35.73
30.64	35.70
44.90	35.69
14.45	35.69
29.44	35.68
18.63	35.67
124.40	35.67
23.65	35.63
129.94	35.63
25.82	35.60
27.98	35.59
114.16	35.57
138.83	35.51
36.72	35.45
124.97	35.39
24.34	35.39
46.50	35.37
24.29	35.34
24.38	35.33
41.99	35.31
32.29	35.29
26.02	35.27
33.03	35.23
16.89	35.22
125.37	35.17
104.64	35.15
24.76	35.14
28.91	35.14
100.26	35.12
35.61	35.12
128.06	35.12
29.86	35.11
63.17	35.11
27.83	35.10
17.74	35.10
26.29	35.08
34.40	35.08
113.33	35.07
113.66	35.06
67.54	35.06
156.79	35.04
29.43	35.04
30.27	35.03
53.25	34.98
15.27	34.97
32.22	34.97
36.17	34.95
138.27	34.94
145.95	34.90
145.82	34.90
32.77	34.88
35.28	34.87
84.37	34.83
125.94	34.81
120.11	34.80
130.12	34.80
121.99	34.80
133.02	34.75
30.72	34.75
