Pred	Exac
32.52	44.74
32.11	44.74
35.20	44.74
36.18	44.74
35.99	44.74
34.95	44.74
31.34	42.53
34.92	42.53
31.35	42.53
32.66	41.78
31.29	41.78
34.18	41.70
30.92	41.70
30.69	41.65
30.75	41.65
34.68	41.65
33.36	41.28
34.08	41.23
30.78	41.23
30.31	41.23
34.31	41.22
34.34	41.21
35.25	41.14
27.52	41.14
29.91	41.04
34.18	41.00
34.42	40.32
31.77	40.22
27.74	40.22
27.90	39.62
28.79	39.61
33.96	39.61
28.62	39.57
32.59	39.57
28.86	39.57
27.84	39.57
32.87	39.57
33.14	39.57
34.90	39.51
33.19	39.49
30.46	39.49
29.44	39.49
29.96	39.48
33.52	39.44
30.19	39.44
30.04	39.44
29.28	39.44
30.25	39.37
29.75	39.32
31.95	39.30
27.80	39.29
26.58	39.25
28.76	39.02
28.99	39.02
34.31	39.01
29.34	38.93
33.22	38.83
31.54	38.79
28.68	38.79
30.01	38.79
31.86	38.79
28.69	38.66
30.92	38.61
29.16	38.61
34.77	38.56
29.78	38.38
32.24	38.37
27.32	38.36
31.07	38.27
28.36	38.27
26.53	38.26
27.42	38.25
27.40	38.25
30.97	38.25
33.12	38.24
29.29	38.19
28.70	38.16
28.49	38.16
28.35	38.13
31.07	38.12
28.48	38.11
29.41	38.10
26.28	38.04
31.93	38.04
28.37	37.96
27.94	37.96
27.15	37.95
32.88	37.94
28.61	37.90
32.12	37.82
30.96	37.81
29.59	37.78
31.23	37.76
27.79	37.71
28.65	37.65
25.17	37.64
27.43	37.64
27.62	37.61
31.77	37.58
31.10	37.55
30.73	37.51
32.74	37.51
27.72	37.48
27.74	37.47
27.42	37.46
28.25	37.39
26.38	37.36
26.57	37.36
26.08	37.29
26.32	37.29
32.65	37.28
26.82	37.27
27.62	37.27
32.42	37.26
27.70	37.26
28.44	37.25
31.06	37.22
32.40	37.21
27.46	37.15
31.09	37.07
27.70	37.06
27.94	36.98
33.22	36.97
27.88	36.95
29.37	36.82
30.63	36.81
30.89	36.79
30.04	36.71
30.26	36.71
27.60	36.69
31.75	36.68
29.64	36.68
28.16	36.65
25.24	36.59
26.40	36.48
25.91	36.48
29.50	36.42
32.59	36.42
30.77	36.32
31.79	36.32
22.57	36.31
30.66	36.27
28.24	36.25
28.34	36.24
28.59	36.23
30.68	36.19
27.65	36.18
30.78	36.15
30.72	36.08
27.05	36.08
31.47	36.05
26.06	36.03
30.43	36.03
30.00	36.03
22.97	35.95
24.47	35.94
26.95	35.92
27.39	35.92
23.15	35.90
27.93	35.90
28.77	35.90
24.83	35.89
27.69	35.87
27.76	35.86
25.93	35.84
23.49	35.82
27.27	35.82
29.90	35.79
26.49	35.78
26.37	35.76
25.66	35.75
25.16	35.73
25.54	35.70
27.42	35.69
26.47	35.69
25.56	35.68
24.83	35.67
29.45	35.67
26.05	35.63
31.82	35.63
26.79	35.60
25.84	35.59
27.93	35.57
29.14	35.51
25.44	35.45
31.69	35.39
24.39	35.39
23.38	35.37
23.42	35.34
25.65	35.33
26.53	35.31
25.69	35.29
27.72	35.27
25.23	35.23
25.35	35.22
32.57	35.17
28.68	35.15
24.23	35.14
26.97	35.14
30.00	35.12
25.37	35.12
27.96	35.12
28.70	35.11
24.61	35.11
26.93	35.10
23.33	35.10
26.89	35.08
25.38	35.08
29.13	35.07
27.73	35.06
24.52	35.06
28.11	35.04
27.99	35.04
25.92	35.03
25.32	34.98
