Pred	Exac
27.22	44.74
27.02	44.74
39.32	44.74
39.25	44.74
39.82	44.74
38.68	44.74
25.20	42.53
36.93	42.53
25.46	42.53
36.36	41.78
24.47	41.78
35.79	41.70
24.62	41.70
24.12	41.65
23.93	41.65
37.90	41.65
36.77	41.28
38.42	41.23
23.71	41.23
23.50	41.23
36.48	41.22
37.19	41.21
38.44	41.14
22.84	41.14
24.05	41.04
39.13	41.00
35.13	40.32
34.96	40.22
22.77	40.22
21.55	39.62
22.91	39.61
36.77	39.61
23.35	39.57
32.75	39.57
22.25	39.57
22.80	39.57
36.39	39.57
36.50	39.57
36.64	39.51
34.55	39.49
23.65	39.49
22.93	39.49
23.58	39.48
35.54	39.44
22.23	39.44
23.17	39.44
22.94	39.44
22.78	39.37
24.44	39.32
33.59	39.30
23.63	39.29
20.69	39.25
22.18	39.02
22.18	39.02
35.47	39.01
24.60	38.93
34.28	38.83
35.14	38.79
22.40	38.79
22.47	38.79
33.75	38.79
22.33	38.66
29.94	38.61
20.97	38.61
34.78	38.56
37.57	38.38
37.20	38.37
22.05	38.36
32.50	38.27
21.92	38.27
21.17	38.26
22.55	38.25
20.94	38.25
34.65	38.25
36.77	38.24
24.10	38.19
23.43	38.16
23.60	38.16
22.73	38.13
34.79	38.12
22.51	38.11
21.86	38.10
21.10	38.04
33.28	38.04
20.58	37.96
20.86	37.96
20.08	37.95
33.83	37.94
22.11	37.90
36.10	37.82
32.25	37.81
23.52	37.78
34.60	37.76
21.71	37.71
21.20	37.65
21.30	37.64
21.34	37.64
23.34	37.61
35.31	37.58
33.31	37.55
29.48	37.51
33.04	37.51
20.40	37.48
23.88	37.47
20.86	37.46
23.58	37.39
20.26	37.36
19.24	37.36
19.70	37.29
20.27	37.29
32.63	37.28
22.79	37.27
21.82	37.27
35.64	37.26
22.43	37.26
34.79	37.25
34.85	37.22
33.29	37.21
31.06	37.15
35.25	37.07
22.43	37.06
22.31	36.98
34.29	36.97
19.76	36.95
32.23	36.82
32.37	36.81
32.12	36.79
32.83	36.71
32.14	36.71
34.35	36.69
30.50	36.68
30.32	36.68
20.28	36.65
18.31	36.59
20.65	36.48
18.79	36.48
22.91	36.42
32.71	36.42
33.82	36.32
33.87	36.32
19.93	36.31
31.97	36.27
20.44	36.25
32.57	36.24
33.97	36.23
34.78	36.19
20.88	36.18
34.53	36.15
31.11	36.08
19.61	36.08
33.07	36.05
20.80	36.03
29.27	36.03
29.00	36.03
22.08	35.95
24.86	35.94
21.60	35.92
25.01	35.92
25.09	35.90
20.93	35.90
34.58	35.90
19.20	35.89
20.85	35.87
18.66	35.86
21.24	35.84
21.89	35.82
22.02	35.82
34.34	35.79
22.09	35.78
22.91	35.76
17.89	35.75
21.02	35.73
20.97	35.70
23.44	35.69
19.70	35.69
18.81	35.68
19.95	35.67
31.07	35.67
17.65	35.63
34.06	35.63
20.46	35.60
20.60	35.59
28.74	35.57
33.83	35.51
17.59	35.45
35.04	35.39
19.72	35.39
22.00	35.37
21.30	35.34
21.56	35.33
22.23	35.31
20.12	35.29
21.86	35.27
22.48	35.23
20.23	35.22
32.72	35.17
30.79	35.15
20.14	35.14
19.77	35.14
31.79	35.12
19.93	35.12
33.52	35.12
23.43	35.11
23.68	35.11
18.69	35.10
21.01	35.10
18.62	35.08
19.34	35.08
27.18	35.07
27.81	35.06
21.81	35.06
36.60	35.04
21.14	35.04
20.98	35.03
21.27	34.98
18.97	34.97
23.58	34.97
22.85	34.95
33.34	34.94
32.87	34.90
32.25	34.90
19.95	34.88
18.13	34.87
25.88	34.83
31.19	34.81
28.47	34.80
30.74	34.80
29.82	34.80
32.09	34.75
21.00	34.75
20.77	34.74
23.12	34.74
20.56	34.71
19.91	34.71
20.75	34.69
29.49	34.67
19.43	34.67
30.94	34.66
22.91	34.65
21.86	34.64
19.49	34.63
29.42	34.62
18.44	34.61
20.20	34.60
29.23	34.59
20.57	34.59
18.37	34.59
28.25	34.59
26.72	34.59
29.40	34.58
18.72	34.56
19.48	34.55
17.81	34.51
23.52	34.47
17.91	34.46
20.89	34.45
29.15	34.45
19.00	34.44
18.14	34.44
19.69	34.44
28.76	34.43
20.15	34.40
22.99	34.40
19.11	34.38
30.50	34.34
31.37	34.33
29.44	34.30
21.97	34.28
22.46	34.28
23.85	34.25
21.34	34.25
18.96	34.21
34.04	34.19
20.26	34.19
33.39	34.17
35.42	34.17
21.20	34.14
33.33	34.14
19.42	34.14
18.36	34.12
19.36	34.12
18.51	34.12
20.29	34.11
26.72	34.10
30.51	34.10
17.87	34.10
16.29	34.08
28.61	34.07
20.47	34.07
19.57	34.06
32.10	34.06
20.30	34.04
17.96	34.03
33.17	34.03
18.74	34.00
21.38	34.00
33.73	33.97
19.43	33.97
29.09	33.97
33.48	33.96
21.14	33.95
29.35	33.94
30.78	33.94
20.17	33.92
20.16	33.88
23.16	33.88
16.95	33.85
33.49	33.84
30.39	33.83
29.48	33.82
17.46	33.82
21.61	33.77
17.50	33.75
18.47	33.74
17.19	33.74
18.63	33.74
19.87	33.72
20.24	33.71
19.64	33.70
19.71	33.70
23.35	33.68
18.93	33.67
28.32	33.66
21.11	33.65
17.73	33.62
23.17	33.61
19.87	33.60
17.66	33.58
28.63	33.56
20.54	33.54
30.92	33.54
25.84	33.49
19.93	33.47
20.43	33.45
18.71	33.45
17.62	33.42
33.63	33.42
28.32	33.42
19.77	33.41
25.88	33.41
25.88	33.41
26.54	33.40
22.48	33.40
20.22	33.40
19.35	33.40
19.96	33.38
23.47	33.38
17.94	33.37
31.75	33.36
30.59	33.35
30.78	33.34
17.63	33.31
21.59	33.29
20.46	33.29
30.55	33.28
21.59	33.28
19.79	33.27
19.33	33.19
18.50	33.18
19.68	33.17
22.76	33.17
23.29	33.17
31.82	33.16
19.17	33.16
18.84	33.15
16.23	33.12
22.23	33.10
18.99	33.10
28.77	33.09
28.99	33.09
19.45	33.09
22.15	33.07
14.54	33.02
29.54	32.99
28.03	32.99
30.86	32.99
22.91	32.99
18.23	32.98
23.94	32.98
16.48	32.98
22.34	32.97
29.66	32.97
27.92	32.96
20.15	32.95
31.99	32.94
21.11	32.90
36.20	32.90
27.30	32.86
20.80	32.84
30.76	32.79
30.79	32.78
26.30	32.77
31.08	32.76
26.21	32.76
16.48	32.75
21.36	32.75
30.31	32.75
23.93	32.74
32.51	32.71
30.89	32.71
19.89	32.70
18.27	32.67
19.51	32.67
17.37	32.66
31.39	32.63
29.50	32.62
18.63	32.62
20.14	32.62
16.93	32.60
33.69	32.60
17.00	32.59
30.78	32.59
17.84	32.59
29.62	32.58
21.08	32.58
29.23	32.56
22.09	32.56
17.87	32.55
18.92	32.55
30.20	32.55
17.44	32.54
20.87	32.54
30.46	32.53
18.06	32.53
26.50	32.51
15.52	32.50
29.09	32.50
20.87	32.48
25.55	32.48
20.23	32.47
29.62	32.46
20.91	32.46
29.89	32.44
20.66	32.44
29.62	32.42
27.03	32.42
31.49	32.42
20.06	32.41
34.20	32.41
21.44	32.39
23.26	32.34
19.00	32.33
16.73	32.31
30.77	32.30
18.95	32.30
20.71	32.30
33.23	32.29
19.43	32.29
27.60	32.28
17.52	32.28
26.87	32.28
26.93	32.28
32.22	32.28
21.41	32.28
16.73	32.28
31.02	32.27
27.23	32.27
19.02	32.26
18.17	32.25
21.84	32.25
20.43	32.24
32.42	32.24
17.71	32.23
16.78	32.22
28.00	32.22
21.02	32.22
13.24	32.20
16.33	32.18
29.92	32.18
28.06	32.18
20.38	32.18
19.79	32.17
35.33	32.16
17.88	32.16
18.60	32.16
20.33	32.15
31.42	32.15
19.08	32.14
20.72	32.13
17.31	32.11
29.22	32.10
19.26	32.09
21.61	32.09
19.32	32.08
29.57	32.08
31.43	32.08
19.79	32.07
29.11	32.07
29.47	32.07
19.09	32.07
14.97	32.06
28.70	32.05
18.35	32.05
19.70	32.04
19.71	32.03
29.46	32.03
30.69	32.03
25.78	32.03
29.04	32.03
17.27	32.02
30.15	32.01
17.48	32.01
28.19	32.01
19.06	32.01
19.08	32.00
20.59	32.00
18.18	31.99
29.49	31.98
31.73	31.95
16.87	31.95
29.43	31.94
33.96	31.94
28.22	31.93
17.91	31.89
26.76	31.89
18.67	31.88
18.04	31.88
18.10	31.88
18.63	31.88
27.32	31.86
15.97	31.86
18.15	31.86
18.18	31.84
32.37	31.83
21.39	31.82
19.66	31.81
31.84	31.79
16.91	31.79
16.37	31.79
31.89	31.78
29.92	31.78
29.54	31.77
16.67	31.76
15.98	31.75
30.55	31.75
33.78	31.72
27.45	31.72
24.45	31.72
27.34	31.72
17.84	31.70
18.45	31.70
29.01	31.70
27.45	31.70
18.78	31.69
31.14	31.69
27.71	31.68
29.11	31.68
18.60	31.67
30.09	31.66
32.05	31.66
30.91	31.66
20.17	31.66
17.62	31.66
20.03	31.64
15.45	31.64
18.10	31.64
15.43	31.63
20.14	31.63
21.09	31.63
32.34	31.62
16.92	31.61
27.81	31.60
18.42	31.59
29.54	31.58
20.96	31.58
18.37	31.57
22.17	31.56
26.90	31.56
31.76	31.55
19.99	31.55
14.33	31.55
17.70	31.55
29.34	31.54
32.02	31.54
16.83	31.54
31.22	31.52
28.54	31.52
29.38	31.51
18.65	31.51
17.86	31.50
27.82	31.49
18.13	31.46
28.83	31.46
17.67	31.46
16.48	31.46
30.33	31.46
15.97	31.46
20.25	31.45
17.66	31.42
25.22	31.41
18.30	31.41
26.60	31.41
18.52	31.41
20.90	31.40
