Pred	Exac
12.70	44.74
14.20	44.74
97.60	44.74
98.80	44.74
100.30	44.74
96.60	44.74
 9.90	42.53
94.40	42.53
17.40	42.53
91.70	41.78
18.30	41.78
97.70	41.70
11.60	41.70
11.00	41.65
14.30	41.65
100.70	41.65
99.10	41.28
97.20	41.23
15.30	41.23
14.00	41.23
96.60	41.22
98.30	41.21
102.70	41.14
20.20	41.14
 9.70	41.04
101.20	41.00
96.70	40.32
88.70	40.22
 7.90	40.22
20.90	39.62
17.60	39.61
96.00	39.61
15.90	39.57
91.50	39.57
17.10	39.57
13.00	39.57
100.90	39.57
95.80	39.57
98.10	39.51
91.70	39.49
14.70	39.49
13.30	39.49
 6.90	39.48
99.20	39.44
18.10	39.44
13.70	39.44
17.00	39.44
14.70	39.37
23.80	39.32
88.00	39.30
24.30	39.29
 7.30	39.25
12.50	39.02
15.00	39.02
98.30	39.01
19.50	38.93
99.70	38.83
90.30	38.79
12.00	38.79
20.10	38.79
99.20	38.79
14.00	38.66
95.30	38.61
13.20	38.61
97.70	38.56
103.70	38.38
104.30	38.37
 3.90	38.36
92.70	38.27
12.10	38.27
12.50	38.26
12.80	38.25
10.20	38.25
94.00	38.25
104.80	38.24
17.50	38.19
20.00	38.16
21.20	38.16
19.00	38.13
93.10	38.12
17.90	38.11
10.30	38.10
15.10	38.04
91.40	38.04
11.90	37.96
15.80	37.96
 9.50	37.95
98.30	37.94
21.90	37.90
101.60	37.82
92.50	37.81
12.20	37.78
103.10	37.76
29.80	37.71
16.40	37.65
33.80	37.64
14.80	37.64
 9.30	37.61
90.60	37.58
86.80	37.55
81.40	37.51
89.30	37.51
17.20	37.48
14.30	37.47
11.40	37.46
17.40	37.39
17.50	37.36
14.80	37.36
12.70	37.29
12.30	37.29
96.70	37.28
11.20	37.27
10.10	37.27
100.30	37.26
20.70	37.26
95.30	37.25
105.20	37.22
97.40	37.21
87.00	37.15
103.80	37.07
20.70	37.06
 5.50	36.98
107.00	36.97
17.90	36.95
79.00	36.82
88.40	36.81
88.20	36.79
100.70	36.71
89.90	36.71
103.50	36.69
85.00	36.68
83.80	36.68
16.60	36.65
21.30	36.59
19.50	36.48
13.60	36.48
12.40	36.42
93.00	36.42
95.70	36.32
96.90	36.32
30.80	36.31
91.80	36.27
25.40	36.25
99.70	36.24
104.20	36.23
103.40	36.19
17.70	36.18
92.10	36.15
90.90	36.08
16.70	36.08
85.90	36.05
23.00	36.03
85.30	36.03
85.80	36.03
50.00	35.95
45.70	35.94
10.30	35.92
41.50	35.92
48.20	35.90
19.80	35.90
97.80	35.90
20.20	35.89
15.40	35.87
18.40	35.86
17.10	35.84
37.30	35.82
16.40	35.82
83.20	35.79
18.70	35.78
13.80	35.76
 9.60	35.75
25.10	35.73
19.10	35.70
29.00	35.69
10.30	35.69
16.90	35.68
 9.30	35.67
89.30	35.67
15.10	35.63
93.00	35.63
15.80	35.60
17.10	35.59
83.40	35.57
99.20	35.51
23.30	35.45
96.90	35.39
14.80	35.39
26.30	35.37
10.90	35.34
10.50	35.33
27.40	35.31
17.30	35.29
17.50	35.27
21.50	35.23
11.40	35.22
90.80	35.17
78.60	35.15
18.90	35.14
18.60	35.14
79.40	35.12
23.00	35.12
92.30	35.12
20.00	35.11
39.80	35.11
15.40	35.10
11.80	35.10
17.80	35.08
22.10	35.08
80.10	35.07
78.00	35.06
34.60	35.06
114.80	35.04
17.90	35.04
19.80	35.03
34.60	34.98
 8.40	34.97
17.40	34.97
27.00	34.95
98.80	34.94
102.30	34.90
102.70	34.90
20.20	34.88
22.40	34.87
47.80	34.83
90.10	34.81
85.50	34.80
93.00	34.80
87.10	34.80
95.00	34.75
16.20	34.75
22.90	34.74
17.10	34.74
17.30	34.71
18.10	34.71
21.00	34.69
95.00	34.67
20.70	34.67
106.20	34.66
23.80	34.65
10.30	34.64
26.90	34.63
102.00	34.62
27.70	34.61
13.40	34.60
81.80	34.59
37.30	34.59
22.90	34.59
87.10	34.59
86.20	34.59
87.40	34.58
23.90	34.56
15.40	34.55
14.30	34.51
33.90	34.47
20.60	34.46
19.00	34.45
85.50	34.45
 0.80	34.44
23.50	34.44
20.60	34.44
80.70	34.43
17.70	34.40
25.00	34.40
11.10	34.38
90.70	34.34
95.50	34.33
76.30	34.30
19.90	34.28
33.10	34.28
47.60	34.25
 3.00	34.25
17.00	34.21
105.00	34.19
24.90	34.19
96.70	34.17
96.10	34.17
16.20	34.14
81.30	34.14
33.00	34.14
10.30	34.12
10.60	34.12
12.80	34.12
11.10	34.11
68.80	34.10
89.10	34.10
15.40	34.10
19.60	34.08
87.20	34.07
10.00	34.07
16.10	34.06
111.60	34.06
18.80	34.04
32.80	34.03
97.50	34.03
18.40	34.00
45.20	34.00
97.90	33.97
20.00	33.97
95.40	33.97
103.60	33.96
46.90	33.95
63.50	33.94
95.60	33.94
12.60	33.92
21.70	33.88
39.70	33.88
17.00	33.85
105.30	33.84
92.90	33.83
89.10	33.82
40.70	33.82
45.50	33.77
21.70	33.75
 6.60	33.74
13.10	33.74
17.10	33.74
36.00	33.72
27.30	33.71
19.70	33.70
16.50	33.70
43.70	33.68
18.20	33.67
89.30	33.66
37.60	33.65
23.00	33.62
43.40	33.61
32.10	33.60
 3.60	33.58
80.00	33.56
20.10	33.54
95.20	33.54
90.20	33.49
20.90	33.47
22.80	33.45
17.80	33.45
23.30	33.42
97.70	33.42
78.90	33.42
39.10	33.41
51.10	33.41
51.10	33.41
47.20	33.40
48.80	33.40
30.20	33.40
18.40	33.40
22.30	33.38
31.80	33.38
13.80	33.37
83.90	33.36
83.40	33.35
91.80	33.34
21.00	33.31
10.30	33.29
25.50	33.29
92.70	33.28
10.30	33.28
44.00	33.27
23.20	33.19
18.00	33.18
15.60	33.17
47.60	33.17
41.30	33.17
107.80	33.16
31.90	33.16
25.20	33.15
21.40	33.12
27.40	33.10
16.10	33.10
92.20	33.09
91.20	33.09
22.40	33.09
26.50	33.07
21.30	33.02
97.90	32.99
92.60	32.99
88.90	32.99
23.80	32.99
 6.50	32.98
49.60	32.98
11.00	32.98
52.20	32.97
96.30	32.97
90.20	32.96
13.00	32.95
98.10	32.94
37.60	32.90
109.00	32.90
85.20	32.86
17.10	32.84
84.30	32.79
88.30	32.78
78.70	32.77
94.40	32.76
82.20	32.76
13.90	32.75
56.40	32.75
82.20	32.75
49.00	32.74
100.40	32.71
77.30	32.71
22.50	32.70
20.50	32.67
23.40	32.67
16.10	32.66
104.30	32.63
89.10	32.62
19.10	32.62
18.60	32.62
10.70	32.60
94.80	32.60
17.30	32.59
91.80	32.59
13.20	32.59
100.80	32.58
35.90	32.58
73.80	32.56
39.90	32.56
20.10	32.55
 6.50	32.55
72.90	32.55
15.00	32.54
41.20	32.54
87.90	32.53
34.00	32.53
92.10	32.51
16.90	32.50
95.40	32.50
18.90	32.48
54.80	32.48
35.80	32.47
82.60	32.46
 8.90	32.46
93.60	32.44
50.50	32.44
100.80	32.42
81.90	32.42
88.30	32.42
20.10	32.41
102.00	32.41
15.50	32.39
53.60	32.34
23.60	32.33
14.80	32.31
95.20	32.30
22.30	32.30
16.40	32.30
88.20	32.29
27.20	32.29
81.00	32.28
11.50	32.28
82.00	32.28
78.40	32.28
101.30	32.28
46.50	32.28
20.60	32.28
88.30	32.27
88.10	32.27
24.00	32.26
15.10	32.25
49.00	32.25
24.20	32.24
106.60	32.24
17.50	32.23
18.40	32.22
90.20	32.22
25.10	32.22
29.40	32.20
32.10	32.18
92.00	32.18
80.40	32.18
15.50	32.18
35.90	32.17
107.00	32.16
23.70	32.16
22.00	32.16
25.30	32.15
91.10	32.15
25.10	32.14
43.90	32.13
 7.30	32.11
96.80	32.10
20.80	32.09
26.90	32.09
20.30	32.08
86.00	32.08
86.50	32.08
19.70	32.07
96.00	32.07
94.70	32.07
39.10	32.07
19.40	32.06
86.30	32.05
20.90	32.05
21.70	32.04
23.50	32.03
78.80	32.03
90.80	32.03
85.40	32.03
89.40	32.03
11.70	32.02
95.60	32.01
20.90	32.01
87.90	32.01
32.60	32.01
15.10	32.00
34.60	32.00
15.40	31.99
77.30	31.98
101.10	31.95
30.90	31.95
92.20	31.94
97.20	31.94
82.90	31.93
11.90	31.89
92.80	31.89
34.20	31.88
15.20	31.88
 5.60	31.88
16.70	31.88
73.50	31.86
23.00	31.86
20.00	31.86
 4.40	31.84
108.20	31.83
26.20	31.82
43.70	31.81
103.30	31.79
38.70	31.79
21.30	31.79
109.80	31.78
90.70	31.78
96.50	31.77
21.90	31.76
15.90	31.75
95.40	31.75
102.00	31.72
78.50	31.72
84.50	31.72
83.10	31.72
13.20	31.70
13.40	31.70
82.90	31.70
78.50	31.70
17.30	31.69
100.80	31.69
83.40	31.68
97.20	31.68
22.00	31.67
91.30	31.66
89.90	31.66
88.80	31.66
32.90	31.66
16.50	31.66
33.00	31.64
10.70	31.64
26.00	31.64
10.90	31.63
12.90	31.63
15.00	31.63
86.80	31.62
39.00	31.61
87.00	31.60
30.30	31.59
97.90	31.58
30.80	31.58
22.90	31.57
49.50	31.56
76.50	31.56
100.50	31.55
22.70	31.55
34.90	31.55
17.00	31.55
100.20	31.54
99.00	31.54
21.40	31.54
96.10	31.52
76.10	31.52
81.80	31.51
 3.10	31.51
 9.80	31.50
75.90	31.49
20.60	31.46
95.70	31.46
21.60	31.46
 7.70	31.46
86.80	31.46
15.00	31.46
31.00	31.45
12.80	31.42
79.60	31.41
15.50	31.41
83.30	31.41
13.30	31.41
47.30	31.40
 7.60	31.40
11.50	31.40
98.50	31.40
54.60	31.39
43.30	31.39
35.50	31.38
24.30	31.38
41.00	31.37
12.60	31.37
28.50	31.36
54.10	31.36
28.60	31.35
18.80	31.35
30.80	31.34
25.00	31.34
21.90	31.32
17.60	31.32
20.80	31.32
33.50	31.31
79.60	31.30
25.20	31.30
12.10	31.30
18.60	31.30
29.40	31.29
 1.60	31.29
46.80	31.29
28.60	31.29
89.10	31.28
85.20	31.27
19.40	31.26
89.00	31.26
31.90	31.26
99.50	31.24
 6.30	31.24
11.90	31.23
22.80	31.22
83.10	31.22
20.70	31.20
19.60	31.20
24.90	31.19
90.00	31.19
23.10	31.18
25.30	31.18
24.30	31.18
 9.70	31.17
23.40	31.16
12.20	31.16
13.40	31.16
 6.50	31.15
19.50	31.14
15.70	31.14
