T	M	E	C	X
 0.10	 1.00	-3.30	 0.00	 0.00
 0.60	 1.00	-3.30	 0.00	 0.00
 1.10	 1.00	-3.30	 0.00	 0.00
 1.60	 1.00	-3.30	 0.01	 0.00
 2.10	 0.99	-3.25	 0.14	 0.01
 2.60	 0.97	-3.12	 0.34	 0.04
 3.10	 0.92	-2.91	 0.58	 0.09
 3.60	 0.87	-2.65	 0.59	 0.11
 4.10	 0.76	-2.23	 0.82	 0.25
 4.60	 0.63	-1.77	 0.79	 0.35
 5.10	 0.54	-1.48	 0.55	 0.33
 5.60	 0.46	-1.21	 0.43	 0.34
 6.10	 0.40	-1.03	 0.31	 0.29
 6.60	 0.32	-0.87	 0.26	 0.31
 7.10	 0.32	-0.82	 0.21	 0.24
 7.60	 0.25	-0.65	 0.16	 0.22
 8.10	 0.24	-0.64	 0.13	 0.25
 8.60	 0.22	-0.54	 0.09	 0.17
 9.10	 0.21	-0.54	 0.09	 0.21
 9.60	 0.17	-0.46	 0.07	 0.18
10.10	 0.15	-0.40	 0.07	 0.18
10.60	 0.16	-0.39	 0.05	 0.14
11.10	 0.13	-0.37	 0.05	 0.14
11.60	 0.13	-0.34	 0.05	 0.15
12.10	 0.14	-0.35	 0.04	 0.12
12.60	 0.11	-0.31	 0.04	 0.12
13.10	 0.11	-0.29	 0.03	 0.10
13.60	 0.11	-0.29	 0.03	 0.10
14.10	 0.10	-0.28	 0.03	 0.10
14.60	 0.10	-0.27	 0.02	 0.10
15.10	 0.12	-0.26	 0.02	 0.08
15.60	 0.09	-0.22	 0.01	 0.08
16.10	 0.08	-0.21	 0.02	 0.07
16.60	 0.07	-0.22	 0.01	 0.07
17.10	 0.07	-0.20	 0.02	 0.08
17.60	 0.09	-0.23	 0.01	 0.08
18.10	 0.07	-0.17	 0.01	 0.07
18.60	 0.08	-0.19	 0.01	 0.06
19.10	 0.08	-0.23	 0.01	 0.07
19.60	 0.07	-0.16	 0.01	 0.06
