T	M	E	C	X
 0.10	 1.00	-3.30	 0.00	 0.00
 0.20	 1.00	-3.30	 0.00	 0.00
 0.30	 1.00	-3.30	 0.00	 0.00
 0.40	 1.00	-3.30	 0.00	 0.00
 0.50	 1.00	-3.30	 0.00	 0.00
 0.60	 1.00	-3.30	 0.00	 0.00
 0.70	 1.00	-3.30	 0.00	 0.00
 0.80	 1.00	-3.30	 0.00	 0.00
 0.90	 1.00	-3.30	 0.00	 0.00
 1.00	 1.00	-3.30	 0.01	 0.00
 1.10	 1.00	-3.30	 0.00	 0.00
 1.20	 1.00	-3.30	 0.00	 0.00
 1.30	 1.00	-3.30	 0.01	 0.00
 1.40	 1.00	-3.30	 0.04	 0.00
 1.50	 1.00	-3.29	 0.03	 0.00
 1.60	 1.00	-3.29	 0.04	 0.00
 1.70	 1.00	-3.28	 0.07	 0.00
 1.80	 1.00	-3.27	 0.10	 0.01
 1.90	 1.00	-3.27	 0.09	 0.01
 2.00	 0.99	-3.26	 0.11	 0.01
 2.10	 0.99	-3.26	 0.11	 0.01
 2.20	 0.99	-3.24	 0.15	 0.01
 2.30	 0.98	-3.22	 0.18	 0.01
 2.40	 0.98	-3.19	 0.26	 0.02
 2.50	 0.97	-3.16	 0.26	 0.02
 2.60	 0.97	-3.12	 0.32	 0.03
 2.70	 0.96	-3.08	 0.35	 0.04
 2.80	 0.96	-3.07	 0.39	 0.04
 2.90	 0.94	-2.98	 0.52	 0.07
 3.00	 0.94	-2.98	 0.50	 0.07
 3.10	 0.92	-2.92	 0.46	 0.07
 3.20	 0.91	-2.85	 0.60	 0.09
 3.30	 0.90	-2.80	 0.64	 0.11
 3.40	 0.89	-2.74	 0.54	 0.10
 3.50	 0.87	-2.67	 0.66	 0.15
 3.60	 0.86	-2.62	 0.57	 0.12
 3.70	 0.82	-2.48	 0.73	 0.17
 3.80	 0.81	-2.44	 0.79	 0.20
 3.90	 0.79	-2.35	 0.69	 0.17
 4.00	 0.76	-2.24	 0.83	 0.27
 4.10	 0.75	-2.19	 0.61	 0.18
 4.20	 0.75	-2.18	 0.71	 0.23
 4.30	 0.72	-2.09	 0.65	 0.24
 4.40	 0.68	-1.95	 0.65	 0.27
 4.50	 0.67	-1.91	 0.79	 0.35
 4.60	 0.67	-1.90	 0.78	 0.31
 4.70	 0.61	-1.71	 0.68	 0.35
 4.80	 0.61	-1.73	 0.75	 0.41
 4.90	 0.60	-1.66	 0.60	 0.32
 5.00	 0.58	-1.62	 0.66	 0.37
