Pred	Exac
750674.02	 0.00
619249.24	 1.20
655523.24	 2.00
1346174.10	 3.60
1100547.05	 6.00
848354.83	 6.40
1002334.02	 8.40
483469.12	 8.40
784856.62	 9.20
1322888.61	10.00
809871.34	10.80
949386.01	11.20
922169.47	12.00
1146211.38	12.40
1231924.23	13.20
539121.16	13.20
817420.09	14.40
387380.29	14.80
1177857.88	15.20
914794.36	15.60
935850.23	15.60
639712.58	15.60
570094.34	16.00
721842.35	16.00
1122021.55	16.40
441664.86	16.40
769549.61	16.80
830062.80	17.20
1060665.27	17.20
840008.42	17.20
416015.90	17.20
1098197.62	17.60
1087170.83	17.60
1341738.34	17.60
841128.97	17.60
817551.70	17.60
537373.20	18.00
985714.86	18.40
974083.75	18.40
1145092.91	18.80
1108486.20	18.80
725812.30	18.80
1070637.03	18.80
1077391.83	18.80
652246.21	18.80
494588.95	18.80
993898.81	19.20
1053236.59	19.20
1038159.81	19.60
781339.39	19.60
927578.94	19.60
819952.89	20.00
1350651.24	20.40
507931.48	20.40
1027829.19	20.40
600639.87	20.40
852084.68	20.40
594702.93	20.40
721051.90	20.40
284728.02	20.40
770216.41	20.80
805260.11	20.80
606807.55	21.20
1538178.94	21.20
1288468.34	21.60
905328.57	21.60
1299039.20	21.60
661040.36	21.60
928020.72	22.00
1251754.22	22.00
367885.82	22.00
408614.29	22.00
727485.83	22.00
960201.08	22.00
1044750.96	22.00
735580.14	22.00
1255009.10	22.40
1014402.93	22.40
362341.75	22.40
822759.26	22.40
704941.26	22.40
846150.94	22.40
1538165.88	22.40
809519.58	22.40
652229.06	22.40
885928.64	22.80
550501.24	22.80
704584.36	22.80
939069.92	23.20
426071.33	23.20
563540.00	23.20
1244915.35	23.20
712595.00	23.20
854692.07	23.60
619200.21	23.60
1045360.83	23.60
529057.34	23.60
494104.35	23.60
834094.95	23.60
434694.70	23.60
860921.08	23.60
864047.89	23.60
1085345.32	24.00
933249.00	24.00
493459.91	24.00
1393028.30	24.00
686683.79	24.00
702146.14	24.00
592847.17	24.00
673250.82	24.00
