Pred	Exac
62.22	 0.00
55.13	 1.20
62.22	 2.00
80.56	 3.60
54.71	 6.00
73.67	 6.40
69.46	 8.40
51.51	 8.40
60.73	 9.20
66.22	10.00
51.35	10.80
63.50	11.20
58.30	12.00
71.96	12.40
55.84	13.20
31.07	13.20
44.73	14.40
53.63	14.80
59.53	15.20
57.19	15.60
57.06	15.60
57.38	15.60
56.66	16.00
49.52	16.00
47.34	16.40
61.74	16.40
68.67	16.80
53.50	17.20
55.52	17.20
57.69	17.20
30.13	17.20
59.26	17.60
76.42	17.60
48.53	17.60
52.68	17.60
62.03	17.60
47.80	18.00
64.30	18.40
60.30	18.40
72.04	18.80
82.65	18.80
53.85	18.80
67.22	18.80
55.26	18.80
60.27	18.80
35.25	18.80
54.41	19.20
48.75	19.20
70.01	19.60
51.49	19.60
43.25	19.60
47.81	20.00
60.59	20.40
39.85	20.40
51.39	20.40
56.31	20.40
62.92	20.40
57.64	20.40
50.48	20.40
34.89	20.40
43.81	20.80
70.63	20.80
53.97	21.20
86.27	21.20
52.05	21.60
56.63	21.60
69.62	21.60
54.11	21.60
66.42	22.00
61.19	22.00
44.79	22.00
52.70	22.00
48.37	22.00
40.83	22.00
63.01	22.00
46.76	22.00
67.13	22.40
54.03	22.40
47.50	22.40
54.54	22.40
52.27	22.40
60.08	22.40
82.73	22.40
54.13	22.40
54.79	22.40
52.18	22.80
42.66	22.80
47.90	22.80
56.95	23.20
43.26	23.20
42.97	23.20
74.87	23.20
46.27	23.20
57.15	23.60
50.28	23.60
58.59	23.60
41.04	23.60
37.82	23.60
59.66	23.60
37.89	23.60
69.64	23.60
45.81	23.60
60.13	24.00
53.42	24.00
45.64	24.00
49.98	24.00
35.46	24.00
52.38	24.00
46.25	24.00
55.13	24.00
47.92	24.00
46.11	24.40
57.40	24.40
44.45	24.40
36.49	24.40
51.24	24.40
51.85	24.40
61.36	24.40
56.59	24.40
52.59	24.40
56.96	24.40
61.91	24.40
37.36	24.40
41.29	24.40
56.15	24.40
48.07	24.80
59.94	24.80
42.36	24.80
47.97	24.80
68.09	24.80
57.52	24.80
41.07	24.80
53.21	25.20
55.26	25.20
75.98	25.20
48.48	25.20
43.64	25.20
45.71	25.20
35.44	25.20
53.50	25.60
54.46	25.60
76.33	25.60
51.19	25.60
68.77	25.60
35.41	25.60
53.86	26.00
49.29	26.00
58.61	26.00
48.52	26.00
48.68	26.00
38.58	26.00
40.11	26.40
48.67	26.40
43.47	26.40
48.55	26.40
59.09	26.40
50.98	26.40
38.41	26.40
54.26	26.40
54.52	26.40
57.89	26.80
43.89	26.80
56.13	26.80
46.80	26.80
43.10	26.80
54.47	26.80
40.73	26.80
33.76	26.80
38.87	26.80
73.14	26.80
52.04	27.20
45.59	27.20
56.99	27.20
73.19	27.20
54.22	27.20
39.99	27.20
42.31	27.20
54.52	27.60
56.56	27.60
51.78	27.60
60.31	27.60
62.43	27.60
46.31	27.60
41.52	27.60
72.67	27.60
32.93	27.60
50.33	27.60
45.65	28.00
70.29	28.00
48.23	28.00
50.68	28.00
45.60	28.00
43.07	28.40
52.91	28.40
51.89	28.40
63.84	28.40
60.52	28.40
62.38	28.40
52.21	28.40
72.89	28.40
48.85	28.40
60.44	28.80
46.61	28.80
40.60	28.80
69.56	28.80
50.57	28.80
38.99	28.80
54.69	28.80
41.21	28.80
65.78	28.80
51.46	28.80
40.25	28.80
58.70	29.20
51.14	29.20
55.54	29.20
42.18	29.20
48.87	29.20
69.40	29.20
40.85	29.20
58.25	29.20
62.92	29.20
55.67	29.20
57.79	29.20
36.27	29.60
70.40	29.60
42.81	29.60
42.59	29.60
43.71	29.60
67.02	29.60
47.01	29.60
45.62	29.60
56.68	29.60
53.45	29.60
54.29	30.00
42.59	30.00
46.13	30.00
58.73	30.00
65.54	30.00
46.36	30.00
40.25	30.00
49.40	30.00
54.25	30.40
48.03	30.40
48.24	30.40
66.52	30.40
54.47	30.40
32.80	30.40
44.40	30.40
61.36	30.40
48.51	30.40
66.94	30.40
38.69	30.80
42.99	30.80
40.84	30.80
37.86	30.80
61.20	30.80
45.72	30.80
38.77	30.80
49.19	30.80
66.84	30.80
49.25	30.80
66.88	30.80
54.90	30.80
66.56	30.80
46.62	30.80
50.12	31.20
44.23	31.20
50.83	31.20
45.15	31.20
54.28	31.20
58.59	31.20
54.71	31.20
57.05	31.20
42.31	31.20
43.22	31.20
56.63	31.20
62.41	31.20
54.13	31.60
56.32	31.60
51.46	31.60
53.70	31.60
47.88	31.60
66.71	31.60
44.15	31.60
49.86	31.60
48.56	31.60
63.56	31.60
40.63	32.00
40.86	32.00
58.71	32.00
40.88	32.00
54.41	32.00
28.23	32.00
47.80	32.00
63.30	32.00
70.36	32.00
42.20	32.00
