Pred	Exac
494.97	 0.00
546.82	 1.20
2383.16	 2.00
3358.70	 3.60
2834.59	 6.00
3793.82	 6.40
449.11	 8.40
45.15	 8.40
1551.75	 9.20
1064.97	10.00
933.44	10.80
2005.49	11.20
2003.42	12.00
1046.01	12.40
2908.05	13.20
40.97	13.20
1851.75	14.40
1251.42	14.80
1490.58	15.20
381.50	15.60
34.86	15.60
156.84	15.60
74.73	16.00
1560.75	16.00
1685.15	16.40
30.57	16.40
999.50	16.80
334.80	17.20
1668.65	17.20
211.14	17.20
28.21	17.20
1644.02	17.60
904.96	17.60
1344.22	17.60
88.62	17.60
2632.35	17.60
2263.35	18.00
1538.57	18.40
1520.65	18.40
1007.92	18.80
2574.72	18.80
668.88	18.80
614.06	18.80
1815.09	18.80
897.13	18.80
658.71	18.80
1265.90	19.20
746.05	19.20
2325.38	19.60
686.63	19.60
649.55	19.60
733.97	20.00
2887.95	20.40
37.46	20.40
1284.37	20.40
2147.49	20.40
2982.91	20.40
514.40	20.40
1022.97	20.40
32.69	20.40
706.35	20.80
2691.01	20.80
924.51	21.20
2653.29	21.20
2280.16	21.60
1340.17	21.60
3529.81	21.60
2267.58	21.60
1444.03	22.00
3135.25	22.00
866.25	22.00
806.47	22.00
36.50	22.00
58.70	22.00
534.94	22.00
40.14	22.00
1541.97	22.40
1001.57	22.40
1610.13	22.40
1084.71	22.40
2537.81	22.40
2487.25	22.40
2121.00	22.40
648.53	22.40
808.71	22.40
3024.20	22.80
1596.22	22.80
287.65	22.80
911.57	23.20
1480.07	23.20
479.39	23.20
1305.97	23.20
2469.42	23.20
2374.93	23.60
1886.06	23.60
1778.74	23.60
31.01	23.60
38.61	23.60
2074.87	23.60
28.57	23.60
3058.04	23.60
1567.68	23.60
746.40	24.00
1498.31	24.00
1127.97	24.00
1153.46	24.00
37.78	24.00
1392.64	24.00
35.14	24.00
3000.51	24.00
856.42	24.00
30.41	24.40
304.70	24.40
855.43	24.40
1034.04	24.40
1759.50	24.40
1065.27	24.40
1899.74	24.40
33.72	24.40
1397.08	24.40
1223.19	24.40
31.44	24.40
575.78	24.40
