Pred	Exac
 6.63	966.03
 7.76	964.64
 5.68	964.64
 8.40	964.08
 8.59	968.38
11.48	968.54
 9.43	965.30
 9.79	969.98
 7.62	968.31
 7.91	966.25
 7.91	965.48
 5.61	961.47
 4.44	962.73
 6.18	963.20
 6.07	971.66
 8.76	971.93
 9.48	971.72
10.67	969.58
 5.99	971.74
 5.10	970.32
 6.85	970.17
 6.85	970.76
 9.05	970.60
 6.59	963.21
 7.82	958.91
10.08	973.72
15.71	969.57
14.69	971.78
14.08	971.81
18.57	971.29
14.72	965.66
26.23	972.50
26.84	974.68
23.52	972.97
25.66	972.84
29.12	978.05
25.88	977.46
26.19	976.70
21.70	976.76
16.43	972.99
12.44	974.61
12.23	972.37
12.44	969.35
10.68	974.56
12.74	971.11
16.83	976.76
16.83	977.68
19.99	980.77
17.42	977.69
21.43	979.89
19.61	973.14
16.98	974.88
11.65	969.57
11.42	969.34
 9.37	965.23
12.75	972.04
10.47	974.87
13.39	975.93
15.74	978.39
 9.40	973.60
 8.24	970.69
11.70	975.45
11.70	974.53
 9.34	971.49
12.25	972.98
10.08	976.29
 8.87	974.23
 7.83	973.97
 6.36	973.94
 7.13	973.05
 5.32	971.63
 5.32	970.87
 5.61	971.76
 8.73	975.74
 9.12	970.27
 8.20	968.34
 9.85	965.98
11.40	964.09
 5.89	964.66
 6.43	964.29
 3.92	962.87
 5.11	964.50
 6.43	963.20
 6.26	962.53
 6.51	962.19
 8.02	963.51
 5.99	964.86
 5.99	964.77
10.32	968.31
 8.26	970.48
13.91	971.53
24.19	972.75
24.78	973.93
23.99	971.37
21.02	971.44
25.01	973.69
20.67	976.27
19.06	973.65
12.15	971.88
14.12	968.92
15.52	968.70
11.79	967.27
11.79	963.36
 8.46	968.81
 7.94	969.15
 7.54	970.94
 7.64	970.97
 5.29	971.97
10.25	970.22
10.86	966.06
10.86	966.11
11.11	974.73
11.85	974.10
14.79	973.69
15.20	977.60
15.20	975.72
14.13	976.75
 9.60	970.69
12.16	976.66
14.24	973.24
12.34	974.31
12.34	974.44
11.20	968.21
10.31	964.86
 9.29	965.11
 7.16	966.73
 8.15	967.75
 6.53	967.64
 7.27	968.49
 9.18	968.62
 9.18	968.68
 8.18	968.68
 5.97	967.16
 6.89	964.61
 9.48	966.33
10.62	962.73
11.91	965.48
11.91	963.89
 7.83	963.90
 8.18	962.26
 7.58	963.97
