Pred	Exac
36.43	966.03
35.10	964.64
33.80	964.64
31.96	964.08
34.51	968.38
38.67	968.54
34.52	965.30
38.43	969.98
36.54	968.31
34.07	966.25
36.80	965.48
31.25	961.47
35.48	962.73
33.98	963.20
38.32	971.66
39.36	971.93
38.44	971.72
40.61	969.58
36.81	971.74
36.40	970.32
40.32	970.17
40.32	970.76
38.46	970.60
34.10	963.21
33.52	958.91
44.89	973.72
40.95	969.57
40.64	971.78
39.87	971.81
41.35	971.29
36.86	965.66
43.23	972.50
51.12	974.68
50.74	972.97
50.57	972.84
56.46	978.05
54.56	977.46
56.64	976.70
55.66	976.76
46.69	972.99
45.92	974.61
41.41	972.37
41.61	969.35
38.20	974.56
44.05	971.11
46.50	976.76
46.50	977.68
48.60	980.77
46.14	977.69
49.62	979.89
42.05	973.14
41.99	974.88
38.36	969.57
38.64	969.34
37.93	965.23
41.44	972.04
38.63	974.87
39.41	975.93
44.09	978.39
38.96	973.60
33.49	970.69
41.06	975.45
41.06	974.53
39.29	971.49
42.31	972.98
38.81	976.29
37.92	974.23
38.17	973.97
37.33	973.94
36.01	973.05
35.50	971.63
35.50	970.87
34.65	971.76
37.95	975.74
36.75	970.27
33.72	968.34
35.10	965.98
36.39	964.09
30.79	964.66
36.34	964.29
31.17	962.87
33.24	964.50
32.49	963.20
33.62	962.53
33.12	962.19
31.18	963.51
32.78	964.86
32.78	964.77
37.64	968.31
39.03	970.48
43.29	971.53
46.29	972.75
48.77	973.93
46.68	971.37
46.44	971.44
48.62	973.69
46.55	976.27
42.32	973.65
42.67	971.88
39.37	968.92
42.55	968.70
37.16	967.27
37.16	963.36
36.79	968.81
33.43	969.15
38.50	970.94
38.63	970.97
36.25	971.97
38.90	970.22
35.82	966.06
35.82	966.11
41.60	974.73
41.21	974.10
44.73	973.69
45.18	977.60
45.18	975.72
46.68	976.75
40.39	970.69
44.67	976.66
44.96	973.24
44.48	974.31
44.48	974.44
42.41	968.21
40.02	964.86
40.06	965.11
39.27	966.73
38.74	967.75
35.85	967.64
35.52	968.49
38.96	968.62
38.96	968.68
35.05	968.68
35.66	967.16
36.46	964.61
35.54	966.33
35.07	962.73
34.00	965.48
34.00	963.89
34.78	963.90
34.55	962.26
33.08	963.97
36.45	962.95
36.22	962.09
37.21	962.16
37.74	965.08
36.31	965.25
35.69	963.75
28.40	959.88
26.19	959.58
30.87	965.03
31.74	965.18
31.18	964.08
31.69	966.87
33.63	965.62
28.31	964.79
27.09	964.33
30.05	959.66
30.05	958.23
30.29	960.73
30.25	960.87
32.42	960.29
35.72	963.08
31.14	964.17
29.69	965.42
30.81	968.56
32.68	970.87
32.00	970.37
30.67	967.82
32.10	968.32
29.65	965.41
31.61	965.52
30.11	965.04
26.91	965.28
27.15	966.59
27.15	968.18
27.43	969.42
29.82	970.35
32.81	976.71
32.84	977.33
30.18	971.02
29.15	968.46
27.39	965.97
28.98	967.79
33.73	978.03
33.96	977.91
34.98	982.16
33.04	979.24
34.63	980.42
34.14	978.84
29.88	970.22
30.42	967.15
30.69	965.97
32.47	969.94
34.27	970.05
33.96	972.21
35.01	970.24
35.12	972.91
36.62	971.57
35.65	975.14
35.62	970.60
32.57	972.78
32.57	972.87
34.62	969.62
34.04	967.95
35.23	967.47
34.54	968.08
